,empo_1,empo_2,empo_3
10877,Host-associated,Animal,Animal distal gut
10878,Host-associated,Animal,Animal distal gut
10879,Free-living,Non-saline,Soil (non-saline)
10880,Free-living,Non-saline,Water (non-saline)
10881,Free-living,Non-saline,Water (non-saline)
10882,Host-associated,Animal,Animal secretion
10883,Host-associated,Animal,Animal proximal gut
10884,Host-associated,Plant,Plant surface
10885,Free-living,Non-saline,Water (non-saline)
10886,Free-living,Non-saline,Soil (non-saline)
10887,Host-associated,Animal,Animal surface
10888,Host-associated,Animal,Animal surface
10889,Free-living,Non-saline,Water (non-saline)
10890,Host-associated,Animal,Animal distal gut
10891,Host-associated,Plant,Plant rhizosphere
10892,Free-living,Non-saline,Water (non-saline)
10893,Free-living,Non-saline,Soil (non-saline)
10894,Free-living,Non-saline,Water (non-saline)
10895,Free-living,Saline,Water (saline)
10896,Host-associated,Animal,Animal secretion
10897,Free-living,Saline,Water (saline)
10898,Free-living,Non-saline,Water (non-saline)
10899,Host-associated,Animal,Animal secretion
10900,Host-associated,Plant,Plant surface
10901,Host-associated,Animal,Animal distal gut
10902,Free-living,Non-saline,Soil (non-saline)
10903,Free-living,Non-saline,Sediment (non-saline)
10904,Host-associated,Animal,Animal distal gut
10905,Free-living,Non-saline,Water (non-saline)
10906,Host-associated,Animal,Animal surface
10907,Host-associated,Animal,Animal surface
10908,Free-living,Non-saline,Water (non-saline)
10909,Free-living,Non-saline,Water (non-saline)
10910,Host-associated,Animal,Animal surface
10911,Free-living,Non-saline,Water (non-saline)
10912,Host-associated,Animal,Animal distal gut
10913,Host-associated,Animal,Animal distal gut
10914,Host-associated,Plant,Plant surface
10915,Free-living,Non-saline,Water (non-saline)
10916,Host-associated,Animal,Animal distal gut
10917,Host-associated,Plant,Plant surface
10918,Free-living,Non-saline,Water (non-saline)
10919,Free-living,Non-saline,Surface (non-saline)
10920,Free-living,Non-saline,Soil (non-saline)
10921,Free-living,Non-saline,Soil (non-saline)
10922,Free-living,Saline,Water (saline)
10923,Host-associated,Animal,Animal distal gut
10924,Host-associated,Animal,Animal distal gut
10925,Host-associated,Animal,Animal distal gut
10926,Host-associated,Animal,Animal distal gut
10927,Free-living,Non-saline,Soil (non-saline)
10928,Free-living,Saline,Water (saline)
10929,Free-living,Non-saline,Soil (non-saline)
10930,Free-living,Non-saline,Surface (non-saline)
10931,Host-associated,Animal,Animal distal gut
10932,Host-associated,Animal,Animal distal gut
10933,Host-associated,Animal,Animal proximal gut
10934,Free-living,Saline,Water (saline)
10935,Free-living,Non-saline,Water (non-saline)
10936,Host-associated,Plant,Plant rhizosphere
10937,Host-associated,Animal,Animal surface
10938,Free-living,Non-saline,Sediment (non-saline)
10939,Host-associated,Animal,Animal surface
10940,Host-associated,Animal,Animal distal gut
10941,Host-associated,Animal,Animal distal gut
10942,Free-living,Non-saline,Water (non-saline)
10943,Host-associated,Animal,Animal distal gut
10944,Free-living,Non-saline,Water (non-saline)
10945,Free-living,Non-saline,Water (non-saline)
10946,Free-living,Saline,Water (saline)
10947,Free-living,Non-saline,Soil (non-saline)
10948,Free-living,Non-saline,Water (non-saline)
10949,Free-living,Non-saline,Water (non-saline)
10950,Host-associated,Animal,Animal proximal gut
10951,Host-associated,Animal,Animal distal gut
10952,Host-associated,Animal,Animal distal gut
10953,Host-associated,Animal,Animal surface
10954,Free-living,Non-saline,Water (non-saline)
10955,Host-associated,Animal,Animal surface
10956,Host-associated,Animal,Animal surface
10957,Free-living,Non-saline,Water (non-saline)
10958,Free-living,Non-saline,Water (non-saline)
10959,Free-living,Saline,Sediment (saline)
10960,Host-associated,Animal,Animal distal gut
10961,Free-living,Saline,Sediment (saline)
10962,Free-living,Non-saline,Sediment (non-saline)
10963,Free-living,Non-saline,Soil (non-saline)
10964,Host-associated,Animal,Animal distal gut
10965,Free-living,Non-saline,Water (non-saline)
10966,Free-living,Saline,Surface (saline)
10967,Free-living,Non-saline,Sediment (non-saline)
10968,Free-living,Non-saline,Surface (non-saline)
10969,Host-associated,Animal,Animal distal gut
10970,Free-living,Saline,Water (saline)
10971,Free-living,Non-saline,Soil (non-saline)
10972,Free-living,Non-saline,Water (non-saline)
10973,Free-living,Non-saline,Water (non-saline)
10974,Free-living,Non-saline,Soil (non-saline)
10975,Host-associated,Animal,Animal distal gut
10976,Free-living,Non-saline,Water (non-saline)
10977,Host-associated,Animal,Animal secretion
10978,Free-living,Saline,Surface (saline)
10979,Host-associated,Animal,Animal distal gut
10980,Free-living,Saline,Water (saline)
10981,Host-associated,Animal,Animal distal gut
10982,Free-living,Non-saline,Soil (non-saline)
10983,Free-living,Non-saline,Sediment (non-saline)
10984,Host-associated,Animal,Animal surface
10985,Free-living,Non-saline,Water (non-saline)
10986,Free-living,Saline,Water (saline)
10987,Host-associated,Animal,Animal distal gut
10988,Free-living,Non-saline,Water (non-saline)
10989,Host-associated,Animal,Animal distal gut
10990,Host-associated,Animal,Animal corpus
10991,Host-associated,Animal,Animal secretion
10992,Host-associated,Animal,Animal distal gut
10993,Free-living,Non-saline,Surface (non-saline)
10994,Host-associated,Animal,Animal distal gut
10995,Host-associated,Animal,Animal surface
10996,Host-associated,Animal,Animal surface
10997,Host-associated,Animal,Animal distal gut
10998,Host-associated,Animal,Animal distal gut
10999,Host-associated,Animal,Animal secretion
11000,Free-living,Saline,Water (saline)
11001,Host-associated,Animal,Animal surface
11002,Free-living,Non-saline,Water (non-saline)
11003,Free-living,Non-saline,Water (non-saline)
11004,Host-associated,Animal,Animal distal gut
11005,Host-associated,Plant,Plant rhizosphere
11006,Free-living,Non-saline,Water (non-saline)
11007,Host-associated,Plant,Plant surface
11008,Free-living,Non-saline,Sediment (non-saline)
11009,Host-associated,Animal,Animal corpus
11010,Host-associated,Plant,Plant surface
11011,Host-associated,Animal,Animal surface
11012,Free-living,Non-saline,Soil (non-saline)
11013,Host-associated,Animal,Animal distal gut
11014,Host-associated,Animal,Animal distal gut
11015,Host-associated,Animal,Animal secretion
11016,Host-associated,Plant,Plant surface
11017,Host-associated,Animal,Animal distal gut
11018,Free-living,Saline,Water (saline)
11019,Free-living,Non-saline,Surface (non-saline)
11020,Free-living,Non-saline,Water (non-saline)
11021,Free-living,Non-saline,Soil (non-saline)
11022,Free-living,Non-saline,Soil (non-saline)
11023,Host-associated,Animal,Animal secretion
11024,Host-associated,Animal,Animal surface
11025,Host-associated,Plant,Plant surface
11026,Host-associated,Plant,Plant surface
11027,Free-living,Non-saline,Water (non-saline)
11028,Free-living,Saline,Water (saline)
11029,Free-living,Non-saline,Water (non-saline)
11030,Host-associated,Plant,Plant surface
11031,Free-living,Non-saline,Soil (non-saline)
11032,Free-living,Non-saline,Soil (non-saline)
11033,Free-living,Non-saline,Soil (non-saline)
11034,Free-living,Non-saline,Surface (non-saline)
11035,Free-living,Non-saline,Soil (non-saline)
11036,Host-associated,Animal,Animal surface
11037,Host-associated,Animal,Animal surface
11038,Free-living,Non-saline,Water (non-saline)
11039,Free-living,Non-saline,Soil (non-saline)
11040,Host-associated,Animal,Animal secretion
11041,Free-living,Non-saline,Water (non-saline)
11042,Host-associated,Animal,Animal distal gut
11043,Host-associated,Animal,Animal distal gut
11044,Host-associated,Animal,Animal surface
11045,Host-associated,Animal,Animal surface
11046,Host-associated,Plant,Plant corpus
11047,Free-living,Non-saline,Water (non-saline)
11048,Host-associated,Animal,Animal surface
11049,Host-associated,Plant,Plant surface
11050,Host-associated,Animal,Animal distal gut
11051,Host-associated,Animal,Animal surface
11052,Host-associated,Animal,Animal surface
11053,Host-associated,Plant,Plant rhizosphere
11054,Free-living,Saline,Water (saline)
11055,Free-living,Saline,Surface (saline)
11056,Free-living,Non-saline,Water (non-saline)
11057,Host-associated,Animal,Animal distal gut
11058,Host-associated,Animal,Animal proximal gut
11059,Host-associated,Plant,Plant surface
11060,Host-associated,Plant,Plant surface
11061,Free-living,Non-saline,Water (non-saline)
11062,Free-living,Non-saline,Water (non-saline)
11063,Free-living,Non-saline,Soil (non-saline)
11064,Host-associated,Animal,Animal distal gut
11065,Free-living,Non-saline,Water (non-saline)
11066,Host-associated,Animal,Animal surface
11067,Host-associated,Plant,Plant surface
11068,Host-associated,Animal,Animal distal gut
11069,Free-living,Non-saline,Water (non-saline)
11070,Host-associated,Plant,Plant surface
11071,Host-associated,Animal,Animal distal gut
11072,Host-associated,Animal,Animal distal gut
11073,Host-associated,Animal,Animal surface
11074,Host-associated,Animal,Animal distal gut
11075,Free-living,Non-saline,Soil (non-saline)
11076,Host-associated,Animal,Animal surface
11077,Host-associated,Animal,Animal proximal gut
11078,Host-associated,Animal,Animal distal gut
11079,Free-living,Non-saline,Soil (non-saline)
11080,Free-living,Saline,Sediment (saline)
11081,Host-associated,Animal,Animal surface
11082,Host-associated,Animal,Animal distal gut
11083,Host-associated,Plant,Plant surface
11084,Host-associated,Animal,Animal distal gut
11085,Host-associated,Plant,Plant surface
11086,Host-associated,Animal,Animal surface
11087,Free-living,Non-saline,Sediment (non-saline)
11088,Free-living,Non-saline,Water (non-saline)
11089,Host-associated,Animal,Animal distal gut
11090,Free-living,Non-saline,Soil (non-saline)
11091,Free-living,Non-saline,Soil (non-saline)
11092,Free-living,Non-saline,Sediment (non-saline)
11093,Host-associated,Plant,Plant rhizosphere
11094,Free-living,Non-saline,Water (non-saline)
11095,Free-living,Non-saline,Water (non-saline)
11096,Host-associated,Animal,Animal surface
11097,Host-associated,Plant,Plant surface
11098,Host-associated,Animal,Animal distal gut
11099,Host-associated,Plant,Plant surface
11100,Host-associated,Plant,Plant surface
11101,Free-living,Non-saline,Surface (non-saline)
11102,Host-associated,Animal,Animal secretion
11103,Free-living,Non-saline,Water (non-saline)
11104,Free-living,Non-saline,Soil (non-saline)
11105,Free-living,Non-saline,Water (non-saline)
11106,Host-associated,Animal,Animal distal gut
11107,Free-living,Non-saline,Water (non-saline)
11108,Host-associated,Animal,Animal distal gut
11109,Host-associated,Animal,Animal distal gut
11110,Free-living,Saline,Water (saline)
11111,Host-associated,Animal,Animal secretion
11112,Free-living,Non-saline,Soil (non-saline)
11113,Free-living,Non-saline,Sediment (non-saline)
11114,Free-living,Non-saline,Water (non-saline)
11115,Free-living,Saline,Water (saline)
11116,Host-associated,Animal,Animal surface
11117,Host-associated,Animal,Animal distal gut
11118,Host-associated,Plant,Plant rhizosphere
11119,Host-associated,Animal,Animal distal gut
11120,Free-living,Non-saline,Soil (non-saline)
11121,Host-associated,Animal,Animal distal gut
11122,Host-associated,Animal,Animal distal gut
11123,Host-associated,Animal,Animal surface
11124,Free-living,Non-saline,Water (non-saline)
11125,Free-living,Non-saline,Surface (non-saline)
11126,Host-associated,Animal,Animal distal gut
11127,Host-associated,Animal,Animal distal gut
11128,Free-living,Non-saline,Water (non-saline)
11129,Host-associated,Animal,Animal distal gut
11130,Free-living,Non-saline,Water (non-saline)
11131,Host-associated,Animal,Animal surface
11132,Host-associated,Animal,Animal distal gut
11133,Free-living,Non-saline,Water (non-saline)
11134,Free-living,Non-saline,Sediment (non-saline)
11135,Free-living,Non-saline,Soil (non-saline)
11136,Host-associated,Animal,Animal surface
11137,Host-associated,Animal,Animal surface
11138,Free-living,Non-saline,Water (non-saline)
11139,Free-living,Non-saline,Water (non-saline)
11140,Host-associated,Animal,Animal surface
11141,Free-living,Non-saline,Water (non-saline)
11142,Host-associated,Animal,Animal distal gut
11143,Host-associated,Animal,Animal distal gut
11144,Free-living,Non-saline,Soil (non-saline)
11145,Free-living,Non-saline,Soil (non-saline)
11146,Free-living,Saline,Sediment (saline)
11147,Host-associated,Plant,Plant rhizosphere
11148,Free-living,Non-saline,Soil (non-saline)
11149,Host-associated,Animal,Animal distal gut
11150,Free-living,Non-saline,Water (non-saline)
11151,Host-associated,Animal,Animal surface
11152,Host-associated,Animal,Animal surface
11153,Free-living,Non-saline,Water (non-saline)
11154,Host-associated,Animal,Animal distal gut
11155,Free-living,Non-saline,Water (non-saline)
11156,Host-associated,Animal,Animal distal gut
11157,Free-living,Non-saline,Soil (non-saline)
11158,Host-associated,Animal,Animal distal gut
11159,Host-associated,Animal,Animal proximal gut
11160,Host-associated,Animal,Animal distal gut
11161,Host-associated,Plant,Plant surface
11162,Host-associated,Animal,Animal distal gut
11163,Free-living,Non-saline,Surface (non-saline)
11164,Host-associated,Animal,Animal distal gut
11165,Free-living,Saline,Surface (saline)
11166,Host-associated,Animal,Animal secretion
11167,Host-associated,Animal,Animal distal gut
11168,Free-living,Non-saline,Soil (non-saline)
11169,Free-living,Saline,Sediment (saline)
11170,Free-living,Non-saline,Water (non-saline)
11171,Host-associated,Animal,Animal surface
11172,Free-living,Non-saline,Water (non-saline)
11173,Host-associated,Animal,Animal distal gut
11174,Free-living,Non-saline,Water (non-saline)
11175,Host-associated,Plant,Plant surface
11176,Free-living,Saline,Water (saline)
11177,Free-living,Non-saline,Soil (non-saline)
11178,Host-associated,Plant,Plant surface
11179,Host-associated,Animal,Animal corpus
11180,Host-associated,Animal,Animal distal gut
11181,Free-living,Non-saline,Water (non-saline)
11182,Host-associated,Animal,Animal corpus
11183,Free-living,Non-saline,Soil (non-saline)
11184,Free-living,Non-saline,Soil (non-saline)
11185,Host-associated,Plant,Plant surface
11186,Host-associated,Animal,Animal distal gut
11187,Free-living,Non-saline,Water (non-saline)
11188,Host-associated,Animal,Animal surface
11189,Host-associated,Animal,Animal distal gut
11190,Free-living,Non-saline,Soil (non-saline)
11191,Host-associated,Animal,Animal surface
11192,Host-associated,Plant,Plant surface
11193,Free-living,Non-saline,Soil (non-saline)
11194,Host-associated,Animal,Animal surface
11195,Host-associated,Animal,Animal secretion
11196,Host-associated,Animal,Animal distal gut
11197,Free-living,Non-saline,Soil (non-saline)
11198,Free-living,Non-saline,Water (non-saline)
11199,Host-associated,Animal,Animal distal gut
11200,Free-living,Non-saline,Water (non-saline)
11201,Host-associated,Plant,Plant rhizosphere
11202,Free-living,Non-saline,Soil (non-saline)
11203,Host-associated,Animal,Animal secretion
11204,Free-living,Non-saline,Water (non-saline)
11205,Host-associated,Animal,Animal surface
11206,Host-associated,Animal,Animal distal gut
